Ciudad,# Centro,Centro,# Planta Mensual,# Bajas Mensual,% Rotación Mensual,Planta Promedio AM,# Bajas Anual Movil,Rotacion AM
"SANTIAGO, IXC",152401,SIXC DISTRIBUCION,7,0,0,7,1,0.14285714285714285
"MONTERREY, N.L.",200520,MTRY BODEGA MUEBLES,8,0,0,7,1,0.14285714285714285
"TIJUANA, BCN",153512,TJNA OP EQ TRANSPORTE,7,0,0,7,1,0.14285714285714285
"GUAYMAS, SONORA",150901,GYMS DISTRIBUCION,7,0,0,7,1,0.14285714285714285
AZCAPOTZALCO DF,200708,,14,0,0,14,2,0.14285714285714285
AZCAPOTZALCO DF,200725,,7,0,0,7,1,0.14285714285714285
"LOS MOCHIS, SIN",201513,LMCH OPERACION EQ TRANSPORTE,57,0,0,58,8,0.13793103448275862
"LOS MOCHIS, SIN",201513,,58,1,0.017241379310344827,58,8,0.13793103448275862
IZTAPALAPA D.F.,201026,,22,0,0,22,3,0.13636363636363635
IZTAPALAPA D.F.,201026,IZTP DISTRIBUCION IX,22,2,0.09090909090909091,22,3,0.13636363636363635
VERACRUZ VER,217102,VRCZ PICKING ZAPATO,15,0,0,15,2,0.13333333333333333
"CELAYA, GTO.",153101,CLYA DISTRIBUCION,21,1,0.047619047619047616,15,2,0.13333333333333333
"IXTAPALUCA, E.M",201608,,13,0,0,15,2,0.13333333333333333
"IXTAPALUCA, E.M",201608,IXTP TALLER DE SERVICIOS 1,13,0,0,15,2,0.13333333333333333
CULIACAN SIN.,200113,,23,1,0.043478260869565216,23,3,0.13043478260869565
"MACUSPANA,TABAS",163201,,8,0,0,8,1,0.125
AZCAPOTZALCO DF,200709,AZCP TALLER DE SERVICIOS1,15,0,0,16,2,0.125
"SABINAS, COAH",169501,,8,0,0,8,1,0.125
"ACAYUCAN,VERACR",162901,ACYN DISTRIBUCION,18,0,0,16,2,0.125
"TOLUCA, EDO MEX",217808,,24,0,0,24,3,0.125
"SABINAS, COAH",169501,SBNA DISTRIBUCION,8,0,0,8,1,0.125
TEXCOCO EDO MEX,218219,,24,0,0,24,3,0.125
TECAMAC,201846,,8,0,0,8,1,0.125
"LA PAZ, BCS",216501,LPAZ BODEGA,6,1,0.16666666666666666,8,1,0.125
"CD VALLES, SLP",154803,,8,0,0,8,1,0.125
TEHUACAN PUEBLA,155203,,10,0,0,8,1,0.125
"LOS MOCHIS, SIN",217303,LMCH ZAPATERIA,23,1,0.043478260869565216,24,3,0.125
TEXCOCO EDO MEX,218219,TXCC TALLER AUTOMOTRIZ,24,0,0,24,3,0.125
TECAMAC,201846,TCMD PISO,8,0,0,8,1,0.125
TECAMAC,201844,TCMD OFICINA CONTROL,8,0,0,8,1,0.125
"CD VALLES, SLP",154803,CDVS DISTRIBUCION FORNAEO,8,1,0.125,8,1,0.125
"LOS MOCHIS, SIN",217303,,24,0,0,24,3,0.125
"CELAYA, GTO.",153101,,20,1,0.05,16,2,0.125
IZTAPALAPA D.F.,201007,,24,0,0,24,3,0.125
TEHUACAN PUEBLA,155203,TEHC DISTRIBUCION FORANEO,10,0,0,8,1,0.125
"IXTAPALUCA, E.M",216904,,9,0,0,8,1,0.125
"IXTAPALUCA, E.M",216903,,8,0,0,8,1,0.125
IZTAPALAPA D.F.,201007,IZTP DISTRIBUCION I,24,1,0.041666666666666664,24,3,0.125
"TEPIC, NAY",150803,TPIC DISTRIBUCION FORANEO,8,0,0,8,1,0.125
"TEPIC, NAY",150803,,8,0,0,8,1,0.125
"TEPIC, NAY",150801,,24,0,0,24,3,0.125
CULIACAN SIN.,215123,,25,1,0.04,24,3,0.125
"IXTAPALUCA, E.M",216903,IXTP COLGADO II,7,0,0,8,1,0.125
CULIACAN SIN.,200143,,8,1,0.125,8,1,0.125
"IXTAPALUCA, E.M",216904,IXTP COLGADO I,9,0,0,8,1,0.125
CULIACAN SIN.,200131,,8,1,0.125,8,1,0.125
"MACUSPANA,TABAS",163201,MCSP DISTRIBUCION,8,0,0,8,1,0.125
CULIACAN SIN.,200128,,76,0,0,74,9,0.12162162162162163
"PUEBLA, PUEBLA.",216110,,25,0,0,25,3,0.12
"PUEBLA, PUEBLA.",216110,PBLA HABILITADO,25,0,0,25,3,0.12
VERACRUZ VER,202013,VRCZ OPERACION EQ TRANSPORTE,59,2,0.03389830508474576,59,7,0.11864406779661017
VILLAHERMOSA,216205,VLLH PICKING ZAPATO,16,2,0.125,17,2,0.11764705882352941
"LOS MOCHIS, SIN",201511,LMCH TALLER MECANICO,17,0,0,17,2,0.11764705882352941
"LOS MOCHIS, SIN",201511,,17,0,0,17,2,0.11764705882352941
VILLAHERMOSA,216205,,17,0,0,17,2,0.11764705882352941
VILLAHERMOSA,216201,,18,1,0.05555555555555555,18,2,0.1111111111111111
"MERIDA, YUCATAN",218006,MRDA PICKING ZAPATO,9,0,0,9,1,0.1111111111111111
TAMAZUNCHALE,169906,,9,0,0,9,1,0.1111111111111111
"MERIDA, YUCATAN",218006,,9,0,0,9,1,0.1111111111111111
TAMAZUNCHALE,169906,TMZN DISTRIBUCION,9,0,0,9,1,0.1111111111111111
"IXTAPALUCA, E.M",201611,,8,0,0,9,1,0.1111111111111111
"MONTERREY, N.L.",200509,MTRY TALLER DE SERVICIOS 2,18,0,0,18,2,0.1111111111111111
"CUAUTLANCINGO, PUE",169904,,32,0,0,28,3,0.10714285714285714
CULIACAN SIN.,200109,CLCN TALLER DE SERVICIOS 1,20,0,0,19,2,0.10526315789473684
"TOLUCA, EDO MEX",217806,TOLC PICKING ZAPATO,19,1,0.05263157894736842,19,2,0.10526315789473684
"MERIDA, YUCATAN",218009,MRDA STAFF BODEGA ROPA,10,0,0,10,1,0.1
"MERIDA, YUCATAN",218003,MRDA COLGADO II,10,0,0,10,1,0.1
TECAMAC,201851,,9,0,0,10,1,0.1
"GUASAVE, SIN.",650205,GSVE DISTRIBUCION FORANEO,10,0,0,10,1,0.1
TECAMAC,201851,TCMD TALLER DE SERVICIOS 2,9,1,0.1111111111111111,10,1,0.1
"MERIDA, YUCATAN",218009,,10,0,0,10,1,0.1
"MERIDA, YUCATAN",218003,,10,0,0,10,1,0.1
"LEON, GTO.",200414,LEON OFICINA CONTROL,10,0,0,10,1,0.1
SAN LUIS POTOSI,212210,SNLP ZONA CEDIS MUEBLES,7,0,0,10,1,0.1
"GUASAVE, SIN.",650205,,10,0,0,10,1,0.1
AZCAPOTZALCO DF,200712,AZCP OFICINA CONTROL,10,0,0,10,1,0.1
"IXTAPALUCA, E.M",216908,,10,1,0.1,10,1,0.1
AZCAPOTZALCO DF,200719,AZCP TALLER DE SERVICIO 3,10,1,0.1,10,1,0.1
"IXTAPALUCA, E.M",201611,IXTP OFICINA CONTROL,8,0,0,10,1,0.1
CULIACAN SIN.,200129,,10,1,0.1,10,1,0.1
AZCAPOTZALCO DF,200719,,10,0,0,10,1,0.1
AZCAPOTZALCO DF,200712,,10,0,0,10,1,0.1
VILLAHERMOSA,200907,VLLH TALLER DE SERVICIOS1,21,0,0,21,2,0.09523809523809523
"IXTAPALUCA, E.M",201612,IXTP DISTRIBUCION II,21,0,0,21,2,0.09523809523809523
VILLAHERMOSA,200907,,21,0,0,21,2,0.09523809523809523
"MONTERREY, N.L.",200504,MTRY TALLER DE SERVICIOS 1,32,0,0,32,3,0.09375
"PUEBLA, PUEBLA.",216105,,22,0,0,22,2,0.09090909090909091
"LOS MOCHIS, SIN",201512,LMCH TALLER DE SERVICIOS 3,11,0,0,11,1,0.09090909090909091
"COLIMA, COL.",152701,CLMA DISTRIBUCION,11,0,0,11,1,0.09090909090909091
"LOS MOCHIS, SIN",201512,,11,0,0,11,1,0.09090909090909091
CUAUTITLAN IZCA,216804,CTLZ PICKING ZAPATO,11,0,0,11,1,0.09090909090909091
GUADALAJARA JAL,215605,GDLJ PICKING ZAPATO,11,0,0,11,1,0.09090909090909091
IZTAPALAPA D.F.,201021,,10,0,0,11,1,0.09090909090909091
IZTAPALAPA D.F.,201021,IZTP LOTEO,10,0,0,11,1,0.09090909090909091
"PUEBLA, PUEBLA.",216105,PBLA PICKING ZAPATO,22,1,0.045454545454545456,22,2,0.09090909090909091
"COLIMA, COL.",152701,,11,0,0,11,1,0.09090909090909091
CUAUTITLAN IZCA,201316,CTLZ OFICINA CONTROL,10,0,0,11,1,0.09090909090909091
GUADALAJARA JAL,215605,,10,0,0,11,1,0.09090909090909091
CUAUTITLAN IZCA,201316,,10,0,0,11,1,0.09090909090909091
CUAUTITLAN IZCA,216804,,11,0,0,11,1,0.09090909090909091
TECATE,157801,TCTE DISTRIBUCION,11,0,0,11,1,0.09090909090909091
"TECAMAC, EDO ME",201810,,23,0,0,23,2,0.08695652173913043
CULIACAN SIN.,200113,CLCN DISTRIBUCION III,24,0,0,23,2,0.08695652173913043
"TECAMAC, EDO ME",201810,TCMC TALLER AUTOMOTRIZ,23,0,0,23,2,0.08695652173913043
"TUXTEPEC, OAX",160303,,0,0,0,12,1,0.08333333333333333
"LOS MOCHIS, SIN",150607,LMCH DISTRIBUCION II AA,12,0,0,12,1,0.08333333333333333
"LEON, GTO.",200420,LEON BODEGA MUEBLES,12,0,0,12,1,0.08333333333333333
"LOS MOCHIS, SIN",150607,,11,0,0,12,1,0.08333333333333333
"LEON, GTO.",200420,,12,0,0,12,1,0.08333333333333333
IZTAPALAPA D.F.,201010,,12,0,0,12,1,0.08333333333333333
IZTAPALAPA D.F.,201010,IZTP TALLER DE SERVICIO 1,12,0,0,12,1,0.08333333333333333
"IGUALA,GUERRERO",163902,,12,0,0,12,1,0.08333333333333333
"IGUALA,GUERRERO",163902,IGLA DISTRIBUCION FORANEO,12,0,0,12,1,0.08333333333333333
CULIACAN SIN.,215123,CLCN HABILITADO,24,0,0,24,2,0.08333333333333333
VILLAHERMOSA,200908,,12,0,0,12,1,0.08333333333333333
"MERIDA, YUCATAN",201714,MRDA EMBARQUES II,13,0,0,13,1,0.07692307692307693
"MERIDA, YUCATAN",218008,MRDA PICKING DOBLADO,13,0,0,13,1,0.07692307692307693
"MERIDA, YUCATAN",201104,MRDA TALLER DE SERVICIO 3,12,0,0,13,1,0.07692307692307693
"PATZCUARO, MICH",169201,PTZC DISTRIBUCION,14,0,0,13,1,0.07692307692307693
"MERIDA, YUCATAN",201714,,13,0,0,13,1,0.07692307692307693
"MERIDA, YUCATAN",218008,,12,1,0.08333333333333333,13,1,0.07692307692307693
"LEON, GTO.",210301,LEON TALLER AUTOMOTRIZ,26,0,0,26,2,0.07692307692307693
"LEON, GTO.",210301,,26,0,0,26,2,0.07692307692307693
"TUXTEPEC, OAX",160303,TXTP DISTRIBUCON FORANEO,0,0,0,13,1,0.07692307692307693
CULIACAN SIN.,200112,,13,0,0,13,1,0.07692307692307693
CULIACAN SIN.,210101,CLCN TALLER AUTOMOTRIZ I,26,1,0.038461538461538464,27,2,0.07407407407407407
CULIACAN SIN.,210101,,27,0,0,27,2,0.07407407407407407
VILLAHERMOSA,216211,VLLH ENVIO A CLIENTES,14,1,0.07142857142857142,14,1,0.07142857142857142
TEHUACAN PUEBLA,155201,,14,0,0,14,1,0.07142857142857142
TEHUACAN PUEBLA,155201,TEHC DISTRIBUCION,14,0,0,14,1,0.07142857142857142
CUAUTITLAN IZCA,201308,,13,0,0,14,1,0.07142857142857142
CULIACAN SIN.,200112,CLCN EMBARQUES I,13,0,0,14,1,0.07142857142857142
VILLAHERMOSA,216211,,13,0,0,14,1,0.07142857142857142
VILLAHERMOSA,200913,,72,1,0.013888888888888888,72,5,0.06944444444444445
"TECAMAC, EDO ME",217412,,15,0,0,16,1,0.0625
"TECAMAC, EDO ME",217412,TCMC HABILITADO,16,0,0,16,1,0.0625
AZCAPOTZALCO DF,200709,,16,0,0,16,1,0.0625
COATZACOALCOS,157001,,17,0,0,17,1,0.058823529411764705
VILLAHERMOSA,156701,VLLH DISTRIBUCION I,16,0,0,17,1,0.058823529411764705
COATZACOALCOS,157001,CTZC DISTRIBUCION,17,0,0,17,1,0.058823529411764705
"MERIDA, YUCATAN",218004,MRDA DOBLADO,17,0,0,17,1,0.058823529411764705
"MERIDA, YUCATAN",201712,MRDA TALLER DE SERVICIOS 1,17,0,0,17,1,0.058823529411764705
"LOS MOCHIS, SIN",201509,LMCH TALLER DE SERVICIO 1,16,0,0,17,1,0.058823529411764705
"MERIDA, YUCATAN",201712,,17,0,0,17,1,0.058823529411764705
"MERIDA, YUCATAN",218004,,17,0,0,17,1,0.058823529411764705
"LOS MOCHIS, SIN",201509,,16,0,0,17,1,0.058823529411764705
VILLAHERMOSA,216209,VLLH STAFF BODEGA ROPA,15,0,0,17,1,0.058823529411764705
VILLAHERMOSA,156701,,16,0,0,17,1,0.058823529411764705
VILLAHERMOSA,200913,VLLH OPERACION EQ TRANSPORTE,73,0,0,72,4,0.05555555555555555
VILLAHERMOSA,216201,VLLH COLGADO I,18,0,0,18,1,0.05555555555555555
"COMALCALCO, TAB",156401,CMLC DISTRIBUCION,19,0,0,19,1,0.05263157894736842
"COMALCALCO, TAB",156401,,19,0,0,19,1,0.05263157894736842
VILLAHERMOSA,200918,VLLH OPERACION EQ II,40,0,0,40,2,0.05
"IXTEPEC, OAXACA",166501,,20,0,0,20,1,0.05
"IXTEPEC, OAXACA",166501,IXTE DISTRIBUCION,20,0,0,20,1,0.05
CULIACAN SIN.,200109,,20,0,0,20,1,0.05
VILLAHERMOSA,200918,,40,0,0,40,2,0.05
VILLAHERMOSA,200909,VLLH TALLER DE SERVICIOS 3,20,0,0,21,1,0.047619047619047616
VILLAHERMOSA,200909,,20,0,0,21,1,0.047619047619047616
VILLAHERMOSA,216207,,24,1,0.041666666666666664,25,1,0.04
TUXTLA GUTIERRE,162502,,1,0,0,1,0,0
"TONALA, CHIAPAS",165403,,8,0,0,8,0,0
TAPACHULA CHIAP,160705,,1,0,0,1,0,0
S CRISTOBAL CHI,161002,,2,0,0,2,0,0
VILLAHERMOSA,200922,VLLH COORDINACION TRANSP,2,0,0,1,0,0
"MEXICALI, BCN.",201420,MXLI BODEGA MUEBLES,6,0,0,5,0,0
COMITAN D D CHI,162401,,13,0,0,13,0,0
"CINTALAPA, CHIAPAS",165601,,6,0,0,6,0,0
VERACRUZ VER,202020,,2,0,0,2,0,0
VERACRUZ VER,202002,,7,0,0,7,0,0
"MEXICALI, BCN.",201409,MXLI OFICINA CONTROL,5,0,0,5,0,0
VERACRUZ VER,217111,,2,0,0,2,0,0
VERACRUZ VER,155308,,3,0,0,2,0,0
VILLAHERMOSA,216204,VLLH ZONA BODEGA ROPA,4,0,0,4,0,0
"MEXICALI, BCN.",150714,MXLI DISTRIBUCION III AA,4,0,0,4,0,0
VILLAHERMOSA,216207,VLLH PICKING COLGADO,24,0,0,25,0,0
SAN LUIS RIO CO,151102,SNRC DISTRIBUCION FORANEO,2,0,0,2,0,0
VILLAHERMOSA,200920,VLLH BODEGA MUEBLES,6,0,0,6,0,0
TEKAX YUCATAN,250448,TKAX DISTRIBUCIÓN,8,0,0,8,0,0
ESCARCEGA,167901,ESCG DISTRIBUCION,6,0,0,6,0,0
"VALLADOLID, YUCATAN",165801,VLLD DISTRIBUCION,9,0,0,9,0,0
"MONCLOVA, COAH.",151902,,2,0,0,2,0,0
"GOMEZ PAL, DGO.",200326,,3,0,0,3,0,0
VERACRUZ VER,202020,VRCZ COORDINACION TRANSP,2,0,0,2,0,0
VERACRUZ VER,217111,VRCZ ENVIO A CLIENTES,2,0,0,2,0,0
"DURANGO, DGO.",151002,,1,0,0,1,0,0
"ZITACUARO, MICH",165502,,5,0,0,5,0,0
"ZITACUARO, MICH",165501,,7,0,0,7,0,0
"TOLUCA, EDO MEX",202130,,2,0,0,2,0,0
"TOLUCA, EDO MEX",217801,,5,0,0,5,0,0
VERACRUZ VER,202002,VRCZ BODEGA MUEBLES,7,0,0,6,0,0
"MERIDA, YUCATAN",201723,MRDA COORDINACION TRANSP,1,0,0,2,0,0
"MERIDA, YUCATAN",218010,MRDA HABILITADO,11,0,0,11,0,0
CULIACAN SIN.,215106,CLCN ZONA BODEGA ROPA,5,0,0,6,0,0
"TOLUCA, EDO MEX",202124,,3,0,0,3,0,0
"PATZCUARO, MICH",169201,,14,0,0,13,0,0
"MORELIA, MICH.",152103,,5,0,0,5,0,0
"MERIDA, YUCATAN",201715,MRDA SUMINISTROS,2,0,0,2,0,0
VERACRUZ VER,155308,VRCZ DISTRIBUCION IV AAA,3,0,0,2,0,0
"APATZINGAN,MICH",156502,,12,0,0,12,0,0
"APATZINGAN,MICH",156501,,5,0,0,5,0,0
"MERIDA, YUCATAN",218001,MRDA ZONA BODEGA ROPA,3,0,0,3,0,0
TEXCOCO EDO MEX,202132,,2,0,0,2,0,0
"MERIDA, YUCATAN",218007,MRDA PICKING COLGADO,10,0,0,10,0,0
AUTLAN DE NAVARRO,166803,ATLN DISTRIBUCION FORANEO,4,0,0,4,0,0
"MONCLOVA, COAH.",151902,MNCV DISTRIBUCION FORANEO,2,0,0,2,0,0
"MERIDA, YUCATAN",201720,MRDA BODEGA MUEBLES,8,0,0,7,0,0
"GOMEZ PAL, DGO.",200326,GPLC SUMINISTROS,3,0,0,3,0,0
"MERIDA, YUCATAN",218002,MRDA COLGADO I,12,0,0,12,0,0
AUTLAN DE NAVARRO,166801,ATLN DISTRIBUCION,4,0,0,4,0,0
"TANTOYUCA, VER",162202,,2,0,0,2,0,0
"COATZINTLA, VER",161204,,4,0,0,4,0,0
"COATZINTLA, VER",161202,,11,0,0,11,0,0
"TECAMAC, EDO ME",201858,,1,0,0,2,0,0
"TECAMAC, EDO ME",201864,,0,0,0,1,0,0
"TECAMAC, EDO ME",201865,,2,0,0,2,0,0
CD DEL CARMEN,157602,CDCN DISTRIBUCION FORANEO,2,0,0,3,0,0
"CAMPECHE, CAMPE",158703,CMPE DISTRIBUCION FORANEO,5,0,0,5,0,0
TECAMAC,201859,,1,0,0,1,0,0
"DURANGO, DGO.",151002,DRGO DISTRIBUCION RAC,1,0,0,1,0,0
"CAMPECHE, CAMPE",158702,CMPE DISTRIBUCION RAC,2,0,0,2,0,0
TECAMAC,201849,,2,0,0,2,0,0
TECAMAC,201868,,4,0,0,4,0,0
"ZITACUARO, MICH",165502,ZTCR DISTRIBUCION FORANEO,5,0,0,5,0,0
"ZITACUARO, MICH",165501,ZCTR DISTRIBUCION,6,0,0,7,0,0
IXMIQUILPAN HDG,162002,,6,0,0,6,0,0
"APATZINGAN,MICH",156502,APTZ DISTRIBUCION FORANEO,12,0,0,12,0,0
"APATZINGAN,MICH",156501,APTZ DISTRIBUCION,5,0,0,5,0,0
SANTA ROSALIA,168402,STAR OPERACION Y EQ DE TRANSP,1,0,0,1,0,0
TLAQUEPAQUE,202223,TLQP COORDINACON TRANSP,2,0,0,2,0,0
CULIACAN SIN.,200143,CLCN DISTRIBUCION VIII AAA,8,0,0,8,0,0
AZCAPOTZALCO DF,200731,AZCP COORDINACION TRANSP,2,0,0,2,0,0
SAN LUIS POTOSI,152203,,2,0,0,2,0,0
SAN LUIS POTOSI,212210,,7,0,0,10,0,0
"MORELIA, MICH.",152103,MORL DISTRIBUCION FORANEA,5,0,0,5,0,0
"TOLUCA, EDO MEX",202130,TOLC COORDINACION TRANSP,2,0,0,2,0,0
SAN LUIS POTOSI,212203,,4,0,0,3,0,0
"CD VALLES, SLP",154802,,2,0,0,2,0,0
"CD VALLES, SLP",154801,,6,0,0,6,0,0
AGUASCALIENTES,212109,,1,0,0,1,0,0
"TOLUCA, EDO MEX",202124,TOLC SUMINISTROS,3,0,0,3,0,0
AGUASCALIENTES,212111,,6,0,0,5,0,0
AGUASCALIENTES,151702,,3,0,0,3,0,0
AGUASCALIENTES,212104,,2,0,0,2,0,0
"TOLUCA, EDO MEX",217801,TOLC ZONA BODEGA ROPA,4,0,0,5,0,0
AGUASCALIENTES,151705,,4,0,0,3,0,0
"XALAPA,VERACRUZ",161305,,4,0,0,4,0,0
"GUASAVE, SIN.",150201,GSVE DISTRIBUCION,6,0,0,6,0,0
"PUEBLA, PUEBLA.",216111,,3,0,0,3,0,0
"PUEBLA, PUEBLA.",153302,,4,0,0,4,0,0
"LOS MOCHIS, SIN",201524,LMCH HABILITADO MOTOS,4,0,0,3,0,0
"LOS MOCHIS, SIN",201522,LMCH COORDINACION TRANSP,2,0,0,2,0,0
"CUAUTLANCINGO, PUE",201215,,2,0,0,2,0,0
"COATZINTLA, VER",161204,COZI DISTRIBUCION FORANEO,4,0,0,4,0,0
"COATZINTLA, VER",161202,COZI DISTRIBUCION,11,0,0,11,0,0
"TANTOYUCA, VER",162202,TTYC OPERACION Y EQ DE TRANSP,2,0,0,2,0,0
"CUAUTLANCINGO, PUE",169910,,3,0,0,3,0,0
"CUAUTLANCINGO, PUE",201209,,3,0,0,3,0,0
TEXCOCO EDO MEX,202132,TXCC COORDINACION TRANSP,2,0,0,2,0,0
"LOS MOCHIS, SIN",201518,LMCH SUMINISTROS,2,0,0,2,0,0
"TUXTEPEC, OAX",160301,,30,0,0,16,0,0
SALINA CRUZ OAX,202501,,12,0,0,12,0,0
OAXACA OAXACA,153704,,2,0,0,2,0,0
"TAMPICO, TAM.",163002,,1,0,0,1,0,0
"REYNOSA, TAM.",155103,,2,0,0,2,0,0
"REYNOSA, TAM.",155102,,1,0,0,1,0,0
"MATAMOROS, TAM.",156602,,1,0,0,0,0,0
"LOS MOCHIS, SIN",217304,LMCH ZONA BODEGA ROPA,3,0,0,3,0,0
"LOS MOCHIS, SIN",217302,LMCH DOBLADO,1,0,0,1,0,0
"GUADALUPE, N.L.",200537,,2,0,0,2,0,0
CIUDAD MANTE,158502,,3,0,0,2,0,0
"ALTAMIRA, TAM",168304,,2,0,0,2,0,0
"ALTAMIRA, TAM",168303,,1,0,0,1,0,0
"SALTILLO, COAH.",151503,,2,0,0,2,0,0
"ZAMORA, MICH.",152801,ZMRA DISTRIBUCION,22,0,0,22,0,0
"NUEVO LAREDO, T",155605,,2,0,0,2,0,0
"NUEVO LAREDO, T",155604,,1,0,0,0,0,0
"MONTERREY, N.L.",200523,,2,0,0,2,0,0
"MONTERREY, N.L.",200508,,11,0,0,11,0,0
TECAMAC,201868,TCMD HABILITADO DE MOTOS,4,0,0,4,0,0
TECAMAC,201859,TCMD COORDINACION TRANSP,1,0,0,1,0,0
TECAMAC,201849,TCMD SUMINISTROS,2,0,0,2,0,0
"URIANGATO, GTO",164101,URGT DISTRIBUCION,13,0,0,13,0,0
CUAUTITLAN IZCA,201332,CTLZ COORDINACION TRANSPORTE,2,0,0,2,0,0
"TIJUANA, BCN",215220,,4,0,0,4,0,0
"TIJUANA, BCN",215218,,6,0,0,6,0,0
"TIJUANA, BCN",153504,,1,0,0,2,0,0
TECAMAC,201855,TCMD TALLER DE SERVICIOS 3,6,0,0,7,0,0
"TIJUANA, BCN",215214,,2,0,0,2,0,0
"TIJUANA, BCN",215211,,8,0,0,8,0,0
"TIJUANA, BCN",215223,,2,0,0,2,0,0
TECATE,157801,,11,0,0,11,0,0
IXMIQUILPAN HDG,162002,IXMQ DISTRIBUCION FORANEO,6,0,0,6,0,0
"SAN QUINTIN, BCN",153513,,4,0,0,4,0,0
SAN LUIS RIO CO,151102,,2,0,0,2,0,0
"TECAMAC, EDO ME",201864,TCMC MEDIA MILLA,0,0,0,1,0,0
"LEON, GTO.",200429,LEON COORDINACION TRANSP,2,0,0,2,0,0
"MEXICALI, BCN.",201420,,6,0,0,5,0,0
"MEXICALI, BCN.",201409,,5,0,0,5,0,0
"MEXICALI, BCN.",150714,,4,0,0,4,0,0
"MEXICALI, BCN.",220409,,5,0,0,6,0,0
"MEXICALI, BCN.",211402,,3,0,0,3,0,0
"ENSENADA, BCN",153603,,2,0,0,2,0,0
"VALLADOLID, YUCATAN",165801,,9,0,0,9,0,0
TEKAX YUCATAN,250448,,8,0,0,8,0,0
"LEON, GTO.",200418,LEON DESCARGA II,3,0,0,3,0,0
CUAUTITLAN IZCA,216811,CTLZ ENVIO A CLIENTES,1,0,0,1,0,0
AZCAPOTZALCO DF,200735,AZCP OP EQ DE TRANSPORTE,3,0,0,3,0,0
AZCAPOTZALCO DF,200720,AZCP BODEGA MUEBLES,6,0,0,5,0,0
"MERIDA, YUCATAN",201723,,1,0,0,2,0,0
"MERIDA, YUCATAN",218001,,3,0,0,3,0,0
"MERIDA, YUCATAN",201720,,8,0,0,7,0,0
"MERIDA, YUCATAN",218010,,11,0,0,11,0,0
"MERIDA, YUCATAN",201715,,2,0,0,2,0,0
"MERIDA, YUCATAN",218007,,10,0,0,10,0,0
"MERIDA, YUCATAN",218002,,12,0,0,12,0,0
"TECAMAC, EDO ME",201865,TCMC DISTRIBUCION III AAA,2,0,0,2,0,0
"LEON, GTO.",215305,LEON ZONA BODEGA ROPA,5,0,0,5,0,0
ESCARCEGA,167901,,6,0,0,6,0,0
"CD VALLES, SLP",154802,CDVS OPERACION Y EQ DE TRANSP,2,0,0,2,0,0
CD DEL CARMEN,157602,,2,0,0,3,0,0
"CAMPECHE, CAMPE",158702,,2,0,0,2,0,0
"CD VALLES, SLP",154801,CDVS DISTRIBUCION,6,0,0,6,0,0
SANTA ROSALIA,168402,,1,0,0,1,0,0
SAN LUIS POTOSI,152203,SNLP COORDINACION TRANSP,2,0,0,2,0,0
"LOS MOCHIS, SIN",201522,,2,0,0,2,0,0
"LOS MOCHIS, SIN",217304,,2,0,0,3,0,0
SAN LUIS POTOSI,212203,#N/A,4,0,0,2,0,0
"LEON, GTO.",200415,LEON TALLER DE SERVICIO 3,11,0,0,11,0,0
"LEON, GTO.",201427,#N/A,7,0,0,2,0,0
"COLIMA, COL.",152702,CLMA DISTRIBUCION RAC,1,0,0,1,0,0
"LOS MOCHIS, SIN",201518,,2,0,0,2,0,0
"LOS MOCHIS, SIN",217302,,1,0,0,1,0,0
"LOS MOCHIS, SIN",201524,,4,0,0,3,0,0
"CELAYA, GTO.",153102,CLYA DISTRIBUCION RAC,1,0,0,1,0,0
"GUASAVE, SIN.",150201,,6,0,0,6,0,0
"URIANGATO, GTO",164101,,13,0,0,13,0,0
AGUASCALIENTES,151705,AGCS HABILITADO MOTOS,4,0,0,3,0,0
AGUASCALIENTES,212109,AGCS COORDINACION TRANSPORTE,1,0,0,1,0,0
"LEON, GTO.",200429,,2,0,0,2,0,0
"LEON, GTO.",215305,,5,0,0,5,0,0
"LEON, GTO.",200415,,11,0,0,11,0,0
AGUASCALIENTES,212104,AGSC SUMINISTROS,2,0,0,2,0,0
"IRAPUATO, GTO.",164602,#N/A,8,0,0,3,0,0
"IRAPUATO, GTO.",154602,IRPT DISTRIBUCION II,0,0,0,1,0,0
"LEON, GTO.",200414,,10,0,0,10,0,0
"IRAPUATO, GTO.",154603,#N/A,1,0,0,1,0,0
"LEON, GTO.",200418,,3,0,0,3,0,0
AGUASCALIENTES,212111,AGSC OFICINA CONTROL,6,0,0,5,0,0
"OMETEPEC, GUERRERO",169002,OMTP OPERACION Y EQ DE TRANSP,1,0,0,1,0,0
AGUASCALIENTES,151702,AGCS DISTRIBUCION RAC,3,0,0,3,0,0
"IRAPUATO, GTO.",154602,,0,0,0,1,0,0
SANTIAGO PINOTEPA NA,169302,SNTP OPERACION Y EQ DE TRANSP,1,0,0,1,0,0
SANTIAGO PINOTEPA NA,169301,SNTP DISTRIBUCION,9,0,0,8,0,0
ATOYAC DE ALVAREZ,169702,ATYC OPERACION Y EQ DE TRANSP,1,0,0,1,0,0
GUADALAJARA JAL,200617,GDLJ SUMINISTROS,2,0,0,2,0,0
"IRAPUATO, GTO.",154603,,1,0,0,1,0,0
"CELAYA, GTO.",153102,,1,0,0,1,0,0
"XALAPA,VERACRUZ",161305,BDLL DISTRIBUCION FORANEO,4,0,0,4,0,0
