Ciudad,# Centro,Centro,# Planta Mensual,# Bajas Mensual,% Rotación Mensual,Planta Promedio AM,# Bajas Anual Movil,Rotación AM
GUADALAJARA JAL,654802,GDLJ 1548 ROP RIO NILO,6,0,0,7,8,1.1428571428571428
"PUENTE DE IXTLA, MOR",110102,,14,1,0.07142857142857142,15,17,1.1333333333333333
GUSTAVO A MADERO DF,119001,GAMD 1190 MUE ATZACOALCOS,16,0,0,15,17,1.1333333333333333
GUSTAVO A MADERO DF,119001,,16,0,0,15,17,1.1333333333333333
"CELAYA, GTO.",40601,CLYA 406 MUE PARQUE CELAYA,15,0,0,15,17,1.1333333333333333
"CORTAZAR, GTO",21702,CRTZ 217 ROP JUAREZ,18,0,0,15,17,1.1333333333333333
SAN LUIS POTOSI,773801,,16,0,0,15,17,1.1333333333333333
"CD JUAREZ, CHIU",655102,CDJZ 6551 ROP PINOCELLI,14,2,0.14285714285714285,15,17,1.1333333333333333
"TULTITLAN,EDO M",87102,,15,1,0.06666666666666667,15,17,1.1333333333333333
CHIMALHUACAN EM,25501,,13,0,0,15,17,1.1333333333333333
APASEO EL GRANDE,100102,APSG 1001 ROP APASEO,16,1,0.0625,15,17,1.1333333333333333
MARTINEZ DE TOR,106202,MZDT 1062 ROP AVILA CAMACHO,23,3,0.13043478260869565,23,26,1.1304347826086956
"PUEBLA, PUEBLA.",664602,PBLA 6646 ROP PLAZA DORADA,14,0,0,16,18,1.125
"MERIDA, YUCATAN",43201,,17,0,0,16,18,1.125
"IXTAPALUCA, E.M",68302,IXTP 683 PLAZA SENDERO,7,1,0.14285714285714285,8,9,1.125
"IXTAPALUCA, E.M",68302,,7,0,0,8,9,1.125
"IRAPUATO, GTO.",26301,,17,1,0.058823529411764705,16,18,1.125
"GOMEZ PAL, DGO.",23602,,17,1,0.058823529411764705,16,18,1.125
TLAPA DE COMONFORT,662801,,14,1,0.07142857142857142,8,9,1.125
TEQUISQUIAPAN QRTO,38302,TQQP 383 ROP PEDREGAL,16,2,0.125,16,18,1.125
GUADALAJARA JAL,105001,,8,2,0.25,9,10,1.1111111111111112
ECATEPEC DE MOR,47601,,17,4,0.23529411764705882,18,20,1.1111111111111112
"TIJUANA, BCN",773702,,17,4,0.23529411764705882,18,20,1.1111111111111112
"PACHUCA,HIDALGO",19402,,19,0,0,18,20,1.1111111111111112
"TLAXCALA, TLAXC",43801,,19,0,0,19,21,1.105263157894737
"TLAXCALA, TLAXC",43801,TLXL 438 MUE ZITLALPOPOCATL,18,1,0.05555555555555555,19,21,1.105263157894737
"ENSENADA, BCN",672502,#N/A,19,3,0.15789473684210525,20,22,1.1
"QUERETARO, QRO.",134201,QRTO 1342 MUE UPTOWN JURIQUILL,12,0,0,10,11,1.1
TLAQUEPAQUE,100601,,11,2,0.18181818181818182,11,12,1.0909090909090908
TLAQUEPAQUE,654601,,10,1,0.1,11,12,1.0909090909090908
"MONTERREY, N.L.",101302,MTRY 1013 ROP CENTRIKA,10,1,0.1,11,12,1.0909090909090908
TLAQUEPAQUE,105202,TLQP 1052 ROP 8 DE JULIO,12,0,0,11,12,1.0909090909090908
"CIHUATLAN, JAL",32701,,12,0,0,11,12,1.0909090909090908
"DELICIAS, CHIU.",118401,DLCS 1184 MUE EL CHARRO,11,4,0.36363636363636365,11,12,1.0909090909090908
LOS REYES LAPAZ,124602,,10,1,0.1,11,12,1.0909090909090908
"DELICIAS, CHIU.",118401,,11,0,0,11,12,1.0909090909090908
OAXACA OAXACA,149001,OAXC 1490 MUE MADERO,11,1,0.09090909090909091,11,12,1.0909090909090908
STA CATARINA NL,782101,STCA 7821 MUE SENDERO STA CATA,11,1,0.09090909090909091,11,12,1.0909090909090908
STA CATARINA NL,782101,,12,1,0.08333333333333333,11,12,1.0909090909090908
