Ciudad,# Centro,Centro,# Planta Mensual,# Bajas Mensual,% Rotación Mensual,Planta Promedio AM,# Bajas Anual Movil,Rotación AM
"MORELIA, MICH.",52902,,6,0,0,6,6,1
"MONTERREY, N.L.",149901,MTRY 1499 MUE PATIO LINCOLN,7,0,0,6,6,1
OAXACA OAXACA,36310,,0,0,0,1,1,1
"TECUALA, NAY",81010,,1,0,0,1,1,1
"EL SALTO, JAL",348701,ELST ZONA,1,0,0,1,1,1
"QUERETARO, QRO.",134202,QRTO 1342 ROP UPTOWN JURIQUILL,12,1,0.08333333333333333,11,11,1
"XALAPA,VERACRUZ",314703,XLPA ZONA III,1,0,0,1,1,1
"SALTILLO, COAH.",5110,,1,0,0,1,1,1
MONTEMORELOS,344301,,1,0,0,1,1,1
"CD MADERO, TAMA",35310,CDMD 353 GTE MONTERREY,1,0,0,1,1,1
"MONTERREY, N.L.",11601,MTRY 116 MUE FUNDADORES,13,1,0.07692307692307693,15,15,1
"CHIHUAHUA, CHI",4710,CHUA 47 GTE LA SIERRA,0,1,0,1,1,1
"MONTERREY, N.L.",13401,,10,3,0.3,13,13,1
"SALTILLO, COAH.",3510,SALT 35 GTE CARRANZA,1,0,0,1,1,1
"PACHUCA,HIDALGO",765702,,11,2,0.18181818181818182,11,11,1
"TIJUANA, BCN",9710,,1,0,0,1,1,1
OJINAGA,300593,,4,0,0,5,5,1
CULIACAN SIN.,329102,CLCN ZONA VIII,0,1,0,2,2,1
"LOMA BONITA, OAXACA",88410,,1,0,0,1,1,1
ATIZAPAN DE ZAR,143910,ATZP 1439 GTE ATIZAPAN,1,0,0,1,1,1
"MERIDA, YUCATAN",28502,,13,0,0,13,13,1
"MAZATLAN, SIN.",112310,,1,0,0,1,1,1
"MAGDALENA, SON",340501,MGLA ZONA,1,0,0,1,1,1
"TLAXCALA, TLAXC",325001,,2,0,0,1,1,1
"TIJUANA, BCN",33810,,1,0,0,1,1,1
TEPOTZOTLAN,339801,,1,0,0,1,1,1
"CHIHUAHUA, CHI",4710,,1,0,0,1,1,1
"DELICIAS, CHIU.",4801,,12,3,0.25,12,12,1
"TLACOTEPEC, PUE",796310,#N/A,1,0,0,1,1,1
TECATE,309901,TCTE ZONA,3,0,0,1,1,1
GUSTAVO A MADERO DF,798202,GAMD 7982 ROP PARQUE TEPEYAC,11,1,0.09090909090909091,11,11,1
CD DEL CARMEN,21310,CDCN 213 GTE CARMEN,1,0,0,2,2,1
TLALNEPANTLA DE,763010,,1,0,0,1,1,1
"RAMOS ARIZPE, COAH",356946,,1,0,0,3,3,1
"CD JUAREZ, CHIU",47010,CDJZ 470 GTE SENDERO,0,1,0,1,1,1
BAHIAS DE HUATULCO,335501,BHTC ZONA,2,0,0,2,2,1
MONTEMORELOS,300210,MNTM INVENTARIOS ZONA I,1,0,0,1,1,1
"MONTERREY, N.L.",313701,MTRY ZONA VI,1,0,0,3,3,1
CD DEL CARMEN,49510,CDCN 495 GTE CALLE 41,1,0,0,1,1,1
"TORREON, COAH.",12710,,0,0,0,1,1,1
VILLAHERMOSA,28810,,1,0,0,1,1,1
OCOTLAN DE MORELOS,68910,,0,0,0,1,1,1
TLAJOMULCO DE Z,656810,TLJM 6568 GTE CONCEPCION,0,0,0,1,1,1
"TIJUANA, BCN",33810,TJNA 338 GTE LOMA BONITA,1,0,0,1,1,1
VERACRUZ VER,17701,VRCZ 177 MUE LOS PINOS,14,3,0.21428571428571427,14,14,1
CULIACAN SIN.,125201,,16,1,0.0625,15,15,1
CUAUHTEMOC D.F.,140402,#N/A,23,4,0.17391304347826086,23,23,1
"MORELIA, MICH.",52902,MORL 529 -255 CANADA MOR,6,0,0,6,6,1
TLAQUEPAQUE,109710,,1,0,0,1,1,1
"COSAMALOAPAN, VER",46510,,1,0,0,1,1,1
TLAQUEPAQUE,331404,TLQP ZONA IV,2,0,0,1,1,1
"MAZATLAN, SIN.",100210,,1,0,0,1,1,1
AZCAPOTZALCO DF,134110,,1,1,1,1,1,1
"LEON, GTO.",111510,LEON 1115 GTE SAN JUAN BOSCO,0,0,0,1,1,1
"PACHUCA,HIDALGO",40110,PCHC 401 GTE LAS VILLAS,1,0,0,1,1,1
SAN FCO TOTIMEHUACAN,772510,SNFT 7725 GTE SAN FRANCISCO,1,0,0,1,1,1
"CD JUAREZ, CHIU",46710,,1,0,0,1,1,1
"MAZATLAN, SIN.",1401,MZTN 14 MUE AZUETA,13,1,0.07692307692307693,14,14,1
"PLAYA VICENTE, VER",300625,PLVT INVENTARIOS ZONA I,4,0,0,4,4,1
SAN MARTIN T. P,73002,,9,2,0.2222222222222222,8,8,1
"LEON, GTO.",24610,,1,0,0,1,1,1
CUAUHTEMOC D.F.,773010,CTMC 7730 BAN LAZARO CARDENAS,1,0,0,1,1,1
"LORETO, BAJA CALIF S",351901,LRTO ZONA,1,0,0,1,1,1
FELIPE CARRILLO PUER,792501,FCPT 7925 MOT JUAREZ,5,0,0,5,5,1
"GUAYMAS, SONORA",4601,GYMS 46 MUE VIGIA,18,1,0.05555555555555555,17,17,1
"SALTILLO, COAH.",69302,SALT 693 PLAZA REAL,5,1,0.2,6,6,1
"DURANGO, DGO.",126810,DRGO 1268 GTE COLOSIO,0,1,0,1,1,1
"TECAMAC, EDO ME",785801,,11,0,0,11,11,1
SAN JUAN SABINA,34310,NVAR 343 GTE LOPEZ MATEOS,1,0,0,1,1,1
GUTIERREZ ZAMORA,129010,GTZM 1290 GTE ZAMORA,1,0,0,1,1,1
TEHUACAN PUEBLA,309201,,1,0,0,1,1,1
TLAQUEPAQUE,109702,,12,2,0.16666666666666666,11,11,1
GUADALAJARA JAL,8210,GDLJ 82 GTE JUAREZ III,1,0,0,1,1,1
ATIZAPAN DE ZAR,85810,,1,0,0,1,1,1
"COMONFORT, GTO",339901,CMNF ZONA,1,0,0,1,1,1
"TLAXCOAPAN, HIDALGO",332801,TLXP ZONA,1,0,0,1,1,1
VERACRUZ VER,137910,VRCZ 1379 GTE RIO MEDIO,1,1,1,1,1,1
COACALCO DE BAR,18910,,1,0,0,1,1,1
TLACOLULA DE MATAMOR,357001,TLCM ZONA,2,0,0,1,1,1
TEXCOCO EDO MEX,44202,TXCC 442 ROP LA PUERTA,14,2,0.14285714285714285,12,12,1
NICOLAS ROMERO E MEX,108010,,1,0,0,1,1,1
AMEALCO DE BONFIL,766902,,12,0,0,12,12,1
"MERIDA, YUCATAN",300460,,2,0,0,3,3,1
ATIZAPAN DE ZAR,85810,ATZP 858 GTE CENTRAL,1,0,0,1,1,1
SOLEDAD DE G S,28910,,2,0,0,2,2,1
"COCULA, JALISCO",657810,CCLA 6578 GTE COCULA,1,0,0,1,1,1
"NARANJOS, VER",107310,NRJS 1073 GTE JUSTO SIERRA,1,0,0,1,1,1
"ZACAPU, MICHOAC",319701,ZCPU ZONA,0,1,0,1,1,1
"IRAPUATO, GTO.",321601,,2,0,0,3,3,1
"TACAMBARO, MICH",798401,#N/A,5,0,0,4,4,1
"CUITLAHUAC, VER",345001,CUIT ZONA,1,0,0,1,1,1
"CD GUZMAN, JAL",300519,,1,0,0,1,1,1
"HERMOSILLO, SON",776301,HLLO 7763 MUE CAMINO DE SERI,12,0,0,12,12,1
"IXTEPEC, OAXACA",334201,,3,0,0,2,2,1
"MONTERREY, N.L.",14810,MTRY 148 GTE PLAZA LINCON,1,0,0,1,1,1
"OJO CALIENTE, ZACATE",330501,,0,0,0,1,1,1
GUTIERREZ ZAMORA,129002,GTZM 1290 ROP ZAMORA,13,2,0.15384615384615385,12,12,1
TECATE,20310,,1,1,1,1,1,1
"SALAMANCA, GTO",131410,,1,0,0,1,1,1
AMEALCO DE BONFIL,766902,AMEO 7669 ROP CONSTITUYENTES,12,2,0.16666666666666666,12,12,1
"MONCLOVA, COAH.",16310,MNCV 163 GTE HUEMAC,1,0,0,1,1,1
"CUITLAHUAC, VER",345001,,1,0,0,1,1,1
"MANZANILLO, COL",21510,MZLL 215 GTE MADRID,2,0,0,1,1,1
OAXACA OAXACA,59202,,9,2,0.2222222222222222,10,10,1
ECATEPEC DE MOR,48010,,1,0,0,1,1,1
"COMALCALCO, TAB",32902,,15,4,0.26666666666666666,12,12,1
TEPOTZOTLAN,339801,TPZT ZONA,1,0,0,1,1,1
CUAUTITLAN IZCA,40810,,1,0,0,1,1,1
"TIJUANA, BCN",139501,,15,1,0.06666666666666667,16,16,1
MONTEMORELOS,344301,MNTM ZONA,1,0,0,1,1,1
"MEXICALI, BCN.",45710,,1,0,0,1,1,1
GUADALAJARA JAL,8201,,17,0,0,17,17,1
SANTA ROSALIA,340701,STAR ZONA,1,0,0,1,1,1
"ZAPOPAN, JAL.",139010,ZPPN 1390 GTE PLAZA AGORA,1,0,0,1,1,1
"TOLUCA, EDO MEX",326901,TOLC ZONA IV,1,0,0,1,1,1
"CD GUZMAN, JAL",312802,,0,1,0,1,1,1
"XALAPA,VERACRUZ",137110,,1,0,0,1,1,1
"CD JUAREZ, CHIU",47010,,2,0,0,1,1,1
OAXACA OAXACA,36310,OAXC 363 GTE HIDALGO,0,0,0,1,1,1
"IRAPUATO, GTO.",321601,IRPT ZONA II,2,0,0,3,3,1
VILLAHERMOSA,19110,,2,1,0.5,2,2,1
"MISANTLA, VER",93610,MSNT 936 GTE COMONFORT,1,2,2,2,2,1
"MONTERREY, N.L.",101302,,10,0,0,11,11,1
"CD MENDOZA, VERACRUZ",91302,CDMZ 913 ROP HIDALGO,17,5,0.29411764705882354,18,18,1
"ZAPOPAN, JAL.",782210,ZPPN 7822 GTE LA PERLA,1,0,0,1,1,1
"TIJUANA, BCN",667402,,12,2,0.16666666666666666,12,12,1
"APODACA, N.L.",661010,,1,0,0,1,1,1
"IRAPUATO, GTO.",129310,IRPT 1293 GTE PLAZA SAN ROQUE,1,0,0,1,1,1
"GUASAVE, SIN.",101810,,1,0,0,1,1,1
"CALPULALPAN, TLX",89801,CLPN 898 MUE MOTOLINIA,13,2,0.15384615384615385,14,14,1
"PACHUCA,HIDALGO",40110,,1,0,0,1,1,1
"JIMENEZ, CHIH",112610,,1,0,0,1,1,1
"IXTAPALUCA, E.M",114910,,1,0,0,1,1,1
"TLAXCALA, TLAXC",325001,TLXL ZONA,2,0,0,1,1,1
"FRONTERA, COAH",88902,FNTR 889 ROP FRONTERA,14,1,0.07142857142857142,13,13,1
"VILLAFLORES, CHIAPAS",766802,,6,0,0,5,5,1
DEL COYOACAN DF,142910,,1,0,0,1,1,1
ECATEPEC DE MOR,767702,ECTP 7677 ROP PLAZA ECATEPEC,6,0,0,6,6,1
"PARRAL, CHIHUAH",14910,PRRL 149 GTE 20 DE NOVIEMBRE,1,0,0,2,2,1
IZTAPALAPA D.F.,766002,IZTP 7660 ROP FM PLAZA CENTRAL,12,2,0.16666666666666666,12,12,1
MONTEMORELOS,113402,,14,1,0.07142857142857142,15,15,1
"SALTILLO, COAH.",658902,,11,0,0,10,10,1
"TEPIC, NAY",2510,,1,1,1,2,2,1
LOS REYES LAPAZ,25401,LPYP 254 MUE LA PAZ,12,1,0.08333333333333333,13,13,1
"CD JUAREZ, CHIU",30210,,1,0,0,1,1,1
"ISLA, VERACRUZ",300621,,2,0,0,3,3,1
"VILLAFLORES, CHIAPAS",766802,VLLF 7668 ROP PLAZA FLORES,5,0,0,5,5,1
"GOMEZ PAL, DGO.",302502,GPLC ZONA II,2,0,0,3,3,1
BOCA DEL RIO,778810,BRIO 7788 GTE PLAZA EL DORADO,1,0,0,1,1,1
"REYNOSA, TAM.",96710,RYNS 967 GTE CITADINA,2,0,0,2,2,1
"DURANGO, DGO.",677302,#N/A,14,3,0.21428571428571427,3,3,1
"VALLARTA, JAL.",356915,,1,0,0,1,1,1
"SALTILLO, COAH.",3510,,1,0,0,1,1,1
SAN PEDRO POCHUTLA,335401,,1,0,0,1,1,1
CUAUHTEMOC D.F.,98310,CTMC 983 GTE BUENAVISTA,1,0,0,1,1,1
COACALCO DE BAR,18910,CCLC 189 GTE COACALCO,1,0,0,1,1,1
IZTACALCO D.F,141501,IZTC 1415 MUE PERIFERICO OTE,11,0,0,11,11,1
TLALNEPANTLA DE,658002,,12,0,0,11,11,1
JIUTEPEC MORELO,31110,,2,0,0,2,2,1
"CD JUAREZ, CHIU",6810,,0,0,0,1,1,1
IZUCAR DE MAT P,300291,,3,0,0,3,3,1
TUXTLA GUTIERRE,766202,,14,0,0,13,13,1
"RAMOS ARIZPE, COAH",356946,RMSA INVENTARIOS ZONA I,2,0,0,3,3,1
TEXCOCO EDO MEX,44310,,1,0,0,1,1,1
CHIGNAHUAPAN,124910,CHGP 1249 GTE HIDALGO,0,0,0,1,1,1
RINCON DE ROMOS,343901,RNCN ZONA,2,0,0,1,1,1
"LEON, GTO.",651910,LEON 6519 GTE DELTA,0,0,0,1,1,1
"TORREON, COAH.",12710,TRRN 127 GTE MUZQUIZ,0,0,0,1,1,1
HUAMANTLA,331601,HMTL ZONA,4,0,0,1,1,1
TEZONTEPEC DE ALDAMA,659710,VITE 6597 GTE TEZONTEPEC,0,0,0,1,1,1
TECATE,20302,,27,3,0.1111111111111111,28,28,1
SANTA LUCIA DEL CAMI,681901,,5,0,0,2,2,1
MIGUEL HGO D.F.,144810,,1,0,0,1,1,1
"SALTILLO, COAH.",658902,SALT 1589 ROP PORTALES,11,0,0,10,10,1
MIGUEL HGO D.F.,144810,MHGO 1448 GTE TACUBAYA,0,0,0,1,1,1
"REYNOSA, TAM.",96710,,2,0,0,2,2,1
"MERIDA, YUCATAN",19610,,1,0,0,1,1,1
IZTACALCO D.F,141510,IZTC 1415 GTE PERIFERICO OTE,1,0,0,1,1,1
"ZACATELCO, TLAXCACA",341701,,1,0,0,1,1,1
CHALCO EDO MEX,120210,,1,0,0,1,1,1
"MERIDA, YUCATAN",19610,MRDA 196 GTE PLAZA DORADA,1,0,0,1,1,1
"SAN BUENAVENTURA, CH",760801,,10,3,0.3,11,11,1
"LORETO, BAJA CALIF S",351901,,1,0,0,1,1,1
"GUASAVE, SIN.",810,GSVE 8 GTE CARRASCO,2,0,0,1,1,1
"CD MADERO, TAMA",35310,,1,0,0,1,1,1
TLALPAN D.F.,767210,,1,0,0,1,1,1
SAN JUAN D RIO,27902,SNJR 279 ROP MOCTEZUMA,19,2,0.10526315789473684,19,19,1
COATZACOALCOS,122401,,10,2,0.2,10,10,1
"TODOS SANTOS, BCS",769502,TSOS 7695 ROP TODOS SANTOS,10,1,0.1,12,12,1
CUAUHTEMOC D.F.,131502,,8,1,0.125,7,7,1
"JEREZ, ZAC",136410,JEGS 1364 GTE SUAVE PATRIA,1,0,0,1,1,1
"CD GUZMAN, JAL",300519,CDGZ INVENTARIOS ZONA II,1,0,0,1,1,1
"LA PAZ, BCS",86010,LPAZ 860 GTE OLACHEA,1,1,1,1,1,1
"OTUMBA, ESTADO DE ME",147010,OTBA 1470 GTE MONTAÑO,1,0,0,1,1,1
ECATEPEC DE MOR,45110,ECTP 451 GTE RECURSOS,1,0,0,1,1,1
IZTAPALAPA D.F.,140110,,1,0,0,1,1,1
TEXCOCO EDO MEX,300669,TXCC INVENTARIOS ZONA II,0,0,0,1,1,1
"GUASAVE, SIN.",810,,2,0,0,1,1,1
"CD MADERO, TAMA",127802,,0,0,0,4,4,1
"DURANGO, DGO.",126810,,1,0,0,1,1,1
ACOLMAN,779710,ACLM 7797 GTE REAL DEL VALLE,1,0,0,1,1,1
SAN JUAN SABINA,34310,,0,0,0,1,1,1
"JUVENTINO ROSAS, GTO",339401,,1,0,0,1,1,1
"CHIHUAHUA, CHI",36110,,0,0,0,1,1,1
"ALLENDE, N L",300209,ALLD INVENTARIOS ZONA I,2,0,0,2,2,1
"MONCLOVA, COAH.",16310,,1,0,0,1,1,1
VILLAHERMOSA,28810,VLLH 288 GTE JUAREZ,1,0,0,1,1,1
"SONOYTA, SON",133210,SNYA 1332 GTE LAS AMERICAS,1,0,0,1,1,1
GUADALAJARA JAL,326404,,3,1,0.3333333333333333,5,5,1
S PEDRO D L COL,320501,SNPD ZONA,2,0,0,2,2,1
GUADALUPE VICTORIA,136610,,1,0,0,1,1,1
TLAHUAC D.F.,139310,,1,0,0,1,1,1
"ISLA, VERACRUZ",300621,ISLA INVENTARIOS ZONA I,2,0,0,3,3,1
GUTIERREZ ZAMORA,129010,,0,0,0,1,1,1
CUAUHTEMOC D.F.,98310,,1,0,0,1,1,1
"BANDERILLA, VER",62210,,1,0,0,1,1,1
"APAN, HIDALGO",764010,APAN 7640 GTE ZARAGOZA,1,0,0,1,1,1
"ZAPOPAN, JAL.",139002,,12,0,0,13,13,1
TEHUANTEPEC,338101,,1,0,0,1,1,1
"MONTERREY, N.L.",313701,,1,0,0,3,3,1
CHIGNAHUAPAN,124910,,0,0,0,1,1,1
SOLEDAD DE G S,28910,SGRN 289 GTE LOS PINOS,2,0,0,2,2,1
MIGUEL HGO D.F.,54302,,5,0,0,5,5,1
"PUEBLA, PUEBLA.",7110,,1,0,0,1,1,1
VALLE DE CHALCO,773410,,1,0,0,1,1,1
"PUERTO PROGRESO, YUC",106402,PTPG 1064 ROP PROGRESO,8,3,0.375,9,9,1
"CATEMACO, VERACRUZ",104610,CTMO 1046 GTE VENUSTIANO CARRA,1,1,1,2,2,1
RINCON DE ROMOS,343901,,2,0,0,1,1,1
"MINATITLAN, VER",37802,,27,1,0.037037037037037035,27,26,0.9629629629629629
CUAUHTEMOC D.F.,140402,,23,1,0.043478260869565216,25,24,0.96
"POZA RICA, VER.",28201,PZRC 282 MUE CARDENAS,22,2,0.09090909090909091,24,23,0.9583333333333334
VERACRUZ VER,657001,VRCZ 6570 MUE PLAZA MANGOS,22,2,0.09090909090909091,22,21,0.9545454545454546
VERACRUZ VER,657001,,23,0,0,22,21,0.9545454545454546
VERACRUZ VER,16001,VRCZ 160 MUE HIDALGO,20,3,0.15,21,20,0.9523809523809523
"MONTERREY, N.L.",14801,MTRY 148 MUE PLAZA LINCON,18,3,0.16666666666666666,20,19,0.95
VERACRUZ VER,16001,,20,0,0,20,19,0.95
ECATEPEC DE MOR,143202,ECTP 1432 ROP ARAGON,20,4,0.2,20,19,0.95
COATZACOALCOS,16802,,19,2,0.10526315789473684,19,18,0.9473684210526315
"TULA, HIDALGO",26701,TULA 267 MUE PZA TULA,18,0,0,19,18,0.9473684210526315
S ANDRES CHOLULA PUE,655802,CHLA 6558 ROP 5 SUR,18,2,0.1111111111111111,19,18,0.9473684210526315
"TULANCINGO, HGO",29302,,18,1,0.05555555555555555,19,18,0.9473684210526315
"CD JUAREZ, CHIU",26002,CDJZ 260 ROP TORRES D SUR,17,0,0,19,18,0.9473684210526315
LAZARO CARDENAS,13301,,20,1,0.05,19,18,0.9473684210526315
CABO SAN LUCAS,110702,CSCL 1107 ROP CARIBE,21,2,0.09523809523809523,19,18,0.9473684210526315
"CD JUAREZ, CHIU",26002,,17,2,0.11764705882352941,19,18,0.9473684210526315
BENITO JUAREZ QROO,92101,,17,0,0,18,17,0.9444444444444444
OAXACA OAXACA,36301,,18,0,0,18,17,0.9444444444444444
"TIJUANA, BCN",89601,,17,0,0,18,17,0.9444444444444444
"JUAREZ, NUEVO LEON",45602,JREZ 456 ROP SUN MOL VIP,17,4,0.23529411764705882,18,17,0.9444444444444444
"COATEPEC, VER",90201,COTP 902 MUE JUAN SOTO,18,2,0.1111111111111111,18,17,0.9444444444444444
BENITO JUAREZ QROO,92101,CNCN 921 MUE AMERICAS I,16,3,0.1875,18,17,0.9444444444444444
"TIJUANA, BCN",139501,TJNA 1395 MUE SENDERO 2000,15,2,0.13333333333333333,17,16,0.9411764705882353
"MANZANILLO, COL",21501,MZLL 215 MUE MADRID,19,1,0.05263157894736842,17,16,0.9411764705882353
SOLEDAD DE G S,123302,,17,1,0.058823529411764705,17,16,0.9411764705882353
CHALCO EDO MEX,40902,,18,2,0.1111111111111111,17,16,0.9411764705882353
"GUAYMAS, SONORA",4601,,18,0,0,17,16,0.9411764705882353
"ENSENADA, BCN",672501,,16,0,0,17,16,0.9411764705882353
SOLEDAD DE G S,123302,SGRN 1233 ROP CITADINA,17,2,0.11764705882352941,17,16,0.9411764705882353
"MINERAL DE LA R,HGO",785002,MNRL 7850 ROP LA PROVIDENCIA,12,2,0.16666666666666666,17,16,0.9411764705882353
"PUEBLA, PUEBLA.",42601,PBLA 426 MUE MARGARITAS,18,2,0.1111111111111111,16,15,0.9375
ASUNCION NOCHIXTLAN,104301,ANTN 1043 MUE PORFIRIO DIAZ,15,1,0.06666666666666667,16,15,0.9375
V D SANTIAGO GT,25701,VDSN 257 MUE ARTEAGA,15,2,0.13333333333333333,16,15,0.9375
"SALTILLO, COAH.",41202,,15,3,0.2,16,15,0.9375
"TIJUANA, BCN",662502,,15,5,0.3333333333333333,16,15,0.9375
"LIBRES, PUEBLA",90401,,16,0,0,16,15,0.9375
ASUNCION NOCHIXTLAN,104301,,16,0,0,16,15,0.9375
"LIBRES, PUEBLA",90401,LBRS 904 MUE PLAZA LIBRES,16,0,0,16,15,0.9375
CUAUHTEMOC D.F.,140401,#N/A,18,0,0,16,15,0.9375
"MANZANILLO, COL",663002,,11,1,0.09090909090909091,15,14,0.9333333333333333
CULIACAN SIN.,125201,CLCN 1252 MUE PLAZA SAN ISIDRO,14,3,0.21428571428571427,15,14,0.9333333333333333
TIERRA BLANCA,90002,TBCA 900 ROP JUAREZ,16,2,0.125,15,14,0.9333333333333333
TIERRA BLANCA,90002,,17,1,0.058823529411764705,15,14,0.9333333333333333
SAN NICOLAS N.L,788902,,15,3,0.2,15,14,0.9333333333333333
"MORELIA, MICH.",7001,,14,3,0.21428571428571427,15,14,0.9333333333333333
"GUAYMAS, SONORA",2201,,16,1,0.0625,15,14,0.9333333333333333
"MEXICALI, BCN.",2001,MXLI 20 MUE CACHANILLA 1,12,1,0.08333333333333333,15,14,0.9333333333333333
"SALAMANCA, GTO",101002,,15,0,0,15,14,0.9333333333333333
CUAUHTEMOC D.F.,140301,,13,1,0.07692307692307693,15,14,0.9333333333333333
"ACAMBARO, GTO",23202,,15,4,0.26666666666666666,15,14,0.9333333333333333
"SALAMANCA, GTO",101002,SLMC 1010 ROP CONSTELACION,15,1,0.06666666666666667,15,14,0.9333333333333333
VILLAHERMOSA,19102,VLLH 191 ROP SENDERO,17,0,0,15,14,0.9333333333333333
PEDRO ESCOBEDO,673102,#N/A,19,1,0.05263157894736842,15,14,0.9333333333333333
"OCOTLAN, JAL",87901,OCTL 879 MUE INDEPENDENCIA,14,0,0,15,14,0.9333333333333333
"TECAMAC, EDO ME",47201,TCMC 472 MUE CHAPULTEPEC,15,1,0.06666666666666667,14,13,0.9285714285714286
CHAMPOTON CAMPECHE,113902,,16,1,0.0625,14,13,0.9285714285714286
"LEON, GTO.",11201,LEON 112 MUE OBREGON V,15,4,0.26666666666666666,14,13,0.9285714285714286
OLUTA VER,122502,OLTA 1225 ROP LA FLORIDA,14,2,0.14285714285714285,14,13,0.9285714285714286
CUAJIMALPA D.F.,651702,CJMP 1517 ROP CASTORENA,14,0,0,14,13,0.9285714285714286
AZCAPOTZALCO DF,99401,,12,2,0.16666666666666666,14,13,0.9285714285714286
OLUTA VER,122502,,13,1,0.07692307692307693,14,13,0.9285714285714286
"LEON, GTO.",24601,,13,0,0,14,13,0.9285714285714286
"TORREON, COAH.",12802,,14,0,0,14,13,0.9285714285714286
MEDELLIN,110302,MDEN 1103 ROP EL TEJAR,14,1,0.07142857142857142,14,13,0.9285714285714286
TLALNEPANTLA DE,110001,TLNP 1100 MUE RIO DE LOS REME,12,1,0.08333333333333333,14,13,0.9285714285714286
"MEXICALI, BCN.",2001,,12,0,0,14,13,0.9285714285714286
"NOGALES, SONORA",775902,NGLS 7759 ROP SAN ANTONIO II,14,1,0.07142857142857142,14,13,0.9285714285714286
OAXACA OAXACA,780701,,16,3,0.1875,14,13,0.9285714285714286
STA CATARINA NL,8801,,12,2,0.16666666666666666,14,13,0.9285714285714286
STA CATARINA NL,8801,STCA 88 MUE SCT LA FAMA,14,0,0,14,13,0.9285714285714286
VILLAGRAN,80101,,13,2,0.15384615384615385,14,13,0.9285714285714286
"LEON, GTO.",11201,,15,0,0,14,13,0.9285714285714286
COACALCO DE BAR,661201,,14,1,0.07142857142857142,14,13,0.9285714285714286
BENITO JUAREZ QROO,26802,CNCN 268 ROP TULUM,15,2,0.13333333333333333,14,13,0.9285714285714286
"MINERAL DE LA R,HGO",785001,MNRL 7850 MUE LA PROVIDENCIA,12,0,0,14,13,0.9285714285714286
"TEPEJI D RIO D O,HGO",44502,TPJI 445 ROP REVOLUCION,15,1,0.06666666666666667,14,13,0.9285714285714286
TAPACHULA CHIAP,797601,,12,1,0.08333333333333333,14,13,0.9285714285714286
"MINATITLAN, VER",37802,MNTN 378 ROP INSURGENTES CHEDA,28,6,0.21428571428571427,27,25,0.9259259259259259
AGUASCALIENTES,3802,,14,2,0.14285714285714285,13,12,0.9230769230769231
TEZIUTLAN,767601,TZTL 7676 MUE PLAZA EDEN,14,4,0.2857142857142857,13,12,0.9230769230769231
CHALCO EDO MEX,120201,,13,2,0.15384615384615385,13,12,0.9230769230769231
CHALCO EDO MEX,36401,,13,3,0.23076923076923078,13,12,0.9230769230769231
TEXCOCO EDO MEX,44301,TXCC 443 MUE PLAZA SAN LORENZO,13,1,0.07692307692307693,13,12,0.9230769230769231
SAN FCO TOTIMEHUACAN,772501,,13,0,0,13,12,0.9230769230769231
"PUREPERO, MICH",782701,,11,0,0,13,12,0.9230769230769231
CULIACAN SIN.,1301,,12,2,0.16666666666666666,13,12,0.9230769230769231
TLAJOMULCO DE Z,134602,TLJM 1346 ROP JUAREZ,11,4,0.36363636363636365,13,12,0.9230769230769231
TLAJOMULCO DE Z,134601,,13,0,0,13,12,0.9230769230769231
VERACRUZ VER,43901,VRCZ 439 MUE ALLENDE,10,1,0.1,13,12,0.9230769230769231
AGUASCALIENTES,3802,AGCS 38 ROP PATRIA,14,0,0,13,12,0.9230769230769231
"CHIHUAHUA, CHI",6201,,12,2,0.16666666666666666,13,12,0.9230769230769231
"APAN, HIDALGO",764001,,14,2,0.14285714285714285,13,12,0.9230769230769231
"TEPEAPULCO, HIDALGO",149102,,14,1,0.07142857142857142,13,12,0.9230769230769231
"LEON, GTO.",651901,LEON 6519 MUE DELTA,12,3,0.25,13,12,0.9230769230769231
"ZAPOPAN, JAL.",139001,ZPPN 1390 MUE PLAZA AGORA,13,0,0,13,12,0.9230769230769231
"LEON, GTO.",37202,LEON 372 ROP RIO MAYO,14,0,0,13,12,0.9230769230769231
TLALNEPANTLA DE,110001,,13,0,0,13,12,0.9230769230769231
TEXCOCO EDO MEX,44301,,13,1,0.07692307692307693,13,12,0.9230769230769231
S JOSE DEL CABO,29601,SNJC 296 MUE TRANSPENINSU,22,0,0,25,23,0.92
BOCA DEL RIO,778801,BRIO 7788 MUE PLAZA EL DORADO,13,0,0,12,11,0.9166666666666666
AGUASCALIENTES,4902,,11,2,0.18181818181818182,12,11,0.9166666666666666
TLAJOMULCO DE Z,656802,,11,1,0.09090909090909091,12,11,0.9166666666666666
"SALAMANCA, GTO",131402,,12,1,0.08333333333333333,12,11,0.9166666666666666
A. OBREGON D.F.,120001,,11,0,0,12,11,0.9166666666666666
CHIMALHUACAN EM,108802,CHCN 1088 ROP PUERTO,12,0,0,12,11,0.9166666666666666
"POZA RICA, VER.",28201,,23,1,0.043478260869565216,24,22,0.9166666666666666
S JOSE DEL CABO,14502,,11,3,0.2727272727272727,12,11,0.9166666666666666
"MONTERREY, N.L.",11402,,17,3,0.17647058823529413,12,11,0.9166666666666666
"TOLUCA, EDO MEX",44602,,12,3,0.25,12,11,0.9166666666666666
CARMEN N.L.,672001,,12,3,0.25,12,11,0.9166666666666666
