Ciudad,# Centro,Centro,# Planta Mensual,# Bajas Mensual,% Rotación Mensual,Planta Promedio AM,# Bajas Anual Movil,Rotación AM
"JARAL DEL PROGRESO,G",79603,JRPG 796 CAJ DIAZ,3,0,0,3,5,1.6666666666666667
"REYNOSA, TAM.",760303,RYNS 7603 CAJ HIDALGO,2,1,0.5,3,5,1.6666666666666667
GUADALAJARA JAL,115903,GDLJ 1159 CAJ TETLAN,3,0,0,3,5,1.6666666666666667
"ZACAPU, MICHOAC",52803,ZCPU 528 CAJ MORELOS,3,1,0.3333333333333333,3,5,1.6666666666666667
TLAQUEPAQUE,105203,,3,0,0,3,5,1.6666666666666667
CUAUHTEMOC D.F.,657901,,8,3,0.375,9,15,1.6666666666666667
"METEPEC,EDO D M",20803,MTPC 208 CAJ PILARES,3,0,0,3,5,1.6666666666666667
"DURANGO, DGO.",12990,DRGO 129 AFO JARDINES,3,1,0.3333333333333333,3,5,1.6666666666666667
CULIACAN SIN.,230073,,0,0,0,3,5,1.6666666666666667
TLAQUEPAQUE,105203,TLQP 1052 CAJ 8 DE JULIO,3,0,0,3,5,1.6666666666666667
AGUASCALIENTES,32280,AGCS 322 BAN PLAZA VELARIA,9,0,0,9,15,1.6666666666666667
STA CATARINA NL,149303,,3,0,0,3,5,1.6666666666666667
MONTEMORELOS,113401,MNTM 1134 MUE SIMON BOLIVAR,9,5,0.5555555555555556,12,20,1.6666666666666667
"LOS MOCHIS, SIN",1702,LMCH 17 ROP LAS PALMAS,16,4,0.25,15,25,1.6666666666666667
VERACRUZ VER,83503,VRCZ 835 CAJ DIAZ MIRON II,3,1,0.3333333333333333,3,5,1.6666666666666667
VILLA CORREGIDORA,102003,,3,1,0.3333333333333333,3,5,1.6666666666666667
"GOMEZ PAL, DGO.",23603,GPLC 236 CAJ PZA HAMBURGO,6,0,0,6,10,1.6666666666666667
"ZACATELCO, TLAXCACA",80503,ZTLO 805 CAJ ITURBIDE,3,0,0,3,5,1.6666666666666667
BOCA DEL RIO,778803,,2,1,0.5,3,5,1.6666666666666667
"MAGDALENA, SON",111803,,3,1,0.3333333333333333,3,5,1.6666666666666667
CULIACAN SIN.,974380,CLCN MANTENIMIENTO III,2,0,0,3,5,1.6666666666666667
CULIACAN SIN.,235490,,1,0,0,6,10,1.6666666666666667
"ZAPOPAN, JAL.",61903,GDLJ 619 CAJ MERCADO BOLA,3,1,0.3333333333333333,3,5,1.6666666666666667
IZTACALCO D.F,41003,,2,1,0.5,3,5,1.6666666666666667
AGUASCALIENTES,778103,,4,2,0.5,3,5,1.6666666666666667
"ZAPOPAN, JAL.",61903,,3,0,0,3,5,1.6666666666666667
"MONTERREY, N.L.",136001,,12,0,0,11,18,1.6363636363636365
"ZAPOPAN, JAL.",88801,ZPPN 888 MUE MERCADO DEL MAR,12,1,0.08333333333333333,11,18,1.6363636363636365
"MONTERREY, N.L.",136001,MTRY 1360 MUE COLON,11,2,0.18181818181818182,11,18,1.6363636363636365
"NAVOJOA, SON.",753760,NVJA SALEVALE,6,2,0.3333333333333333,8,13,1.625
"MAZATLAN, SIN.",120702,,18,5,0.2777777777777778,16,26,1.625
DEL COYOACAN DF,667580,CYCN 6675 BAN COPILCO,8,1,0.125,8,13,1.625
"TONALA,JALISCO",109580,,7,0,0,8,13,1.625
"LEON, GTO.",215301,,17,3,0.17647058823529413,16,26,1.625
"ZAPOPAN, JAL.",88880,,5,4,0.8,8,13,1.625
"PARRAS, COAH",770280,PADF 7702 BAN DEL MARQUEZ,8,0,0,8,13,1.625
"TIJUANA, BCN",9980,TJNA 99 BAN GATO BRONCO,8,1,0.125,8,13,1.625
"PARRAS, COAH",770280,,7,1,0.14285714285714285,8,13,1.625
"TUXPAN,VERACRUZ",165201,,9,0,0,8,13,1.625
"TIJUANA, BCN",9980,,9,0,0,8,13,1.625
"TUXPAN,VERACRUZ",165201,TXPN DISTRIBUCION,9,0,0,8,13,1.625
"LEON, GTO.",10002,,17,4,0.23529411764705882,13,21,1.6153846153846154
"MAGDALENA, SON",111802,MGLA 1118 ROP MAGDALENA,13,1,0.07692307692307693,13,21,1.6153846153846154
SAN LUIS POTOSI,212206,#N/A,13,2,0.15384615384615385,13,21,1.6153846153846154
"ZAPOPAN, JAL.",245292,,11,2,0.18181818181818182,13,21,1.6153846153846154
"APODACA, N.L.",120601,APDC 1206 MUE SENDERO LA FE,18,3,0.16666666666666666,18,29,1.6111111111111112
"GUAYMAS, SONORA",2202,,17,2,0.11764705882352941,15,24,1.6
TECATE,756560,#N/A,4,2,0.5,5,8,1.6
"EL SALTO, JAL",85203,ELST 852 CAJ PLAZA EL SALTO,4,1,0.25,5,8,1.6
"EL SALTO, JAL",85203,,5,1,0.2,5,8,1.6
"MONTERREY, N.L.",10803,MTRY 108 CAJ ARRAMBERRI,5,0,0,5,8,1.6
"POZA RICA, VER.",161203,PZRC DISTRIBUCION FORANEO,6,1,0.16666666666666666,5,8,1.6
CUAUHTEMOC D.F.,657680,,0,0,0,5,8,1.6
MIGUEL HGO D.F.,144803,MHGO 1448 CAJ TACUBAYA,5,0,0,5,8,1.6
"SALTILLO, COAH.",127003,,6,0,0,5,8,1.6
"HERMOSILLO, SON",3280,,11,4,0.36363636363636365,10,16,1.6
"LEON, GTO.",111503,,5,1,0.2,5,8,1.6
OAXACA OAXACA,157505,OAXC DISTRIBUCION I FORANEO,0,0,0,5,8,1.6
"TONALA,JALISCO",505601,TNLA COBRANZAS,28,3,0.10714285714285714,32,51,1.59375
CUAUHTEMOC D.F.,510401,,25,2,0.08,27,43,1.5925925925925926
"MEXICALI, BCN.",10502,,23,0,0,24,38,1.5833333333333333
"HERMOSILLO, SON",21180,,13,1,0.07692307692307693,12,19,1.5833333333333333
"HERMOSILLO, SON",21180,HLLO 211 BAN PROGRESO,11,2,0.18181818181818182,12,19,1.5833333333333333
MIGUEL HGO D.F.,144801,,10,4,0.4,12,19,1.5833333333333333
VILLAHERMOSA,652402,,11,4,0.36363636363636365,12,19,1.5833333333333333
